date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,city
2023-02-01,3.0,24.5,16.8,21.0,26.8,14.5,21.0,2023-02-01 00:45:00,2023-02-01 11:54:00,40129.12,5460.32,0.0,0.0,0.0,0.0,16.6,28.4,1.0,4.91,1.97,Howrah
2018-06-24,51.0,31.5,23.6,27.2,32.2,25.5,28.8,2018-06-24 00:13:00,2018-06-24 13:23:00,47384.68,38597.44,0.9,0.9,0.0,5.0,22.4,45.0,262.0,18.78,5.21,Hyderabad
2021-06-04,1.0,38.5,28.6,33.1,42.3,33.1,36.9,2021-06-04 00:23:00,2021-06-04 13:52:00,48539.5,43200.0,0.0,0.0,0.0,0.0,17.3,32.0,210.0,24.89,7.11,Ahmedabad
2022-09-03,65.0,31.4,27.1,29.1,38.0,33.3,35.3,2022-09-02 23:49:00,2022-09-03 12:22:00,45137.61,29011.46,14.9,14.9,0.0,8.0,15.8,27.0,210.0,14.71,3.24,Kolkata
2023-01-29,3.0,22.0,7.5,15.0,22.8,6.1,14.6,2023-01-29 01:25:00,2023-01-29 12:18:00,39228.68,33636.45,0.0,0.0,0.0,0.0,10.2,18.0,82.0,15.73,2.64,Kanpur
2015-09-04,51.0,33.5,26.2,29.7,39.4,30.8,35.0,2015-09-04 00:00:00,2015-09-04 12:36:00,45315.53,40920.08,0.1,0.1,0.0,1.0,12.4,28.1,260.0,21.29,4.97,Patna
2021-01-09,1.0,27.8,17.0,21.9,27.9,17.6,22.4,2021-01-09 01:18:00,2021-01-09 12:27:00,40173.3,36133.52,0.0,0.0,0.0,0.0,13.2,30.6,126.0,18.27,3.97,Hyderabad
2022-12-23,0.0,30.1,15.6,22.3,29.8,15.1,22.4,2022-12-23 01:12:00,2022-12-23 12:17:00,39932.34,36826.5,0.0,0.0,0.0,0.0,12.1,26.3,93.0,18.71,4.24,Hyderabad
2022-12-17,2.0,33.2,20.9,26.7,34.1,19.6,26.5,2022-12-17 01:43:00,2022-12-17 12:27:00,38607.54,35523.76,0.0,0.0,0.0,0.0,11.0,23.4,39.0,14.56,4.39,Ahmedabad
2020-06-30,53.0,36.7,28.0,31.4,42.4,32.6,36.7,2020-06-30 00:27:00,2020-06-30 13:59:00,48697.2,37406.28,1.5,1.5,0.0,5.0,10.4,26.3,202.0,17.18,4.39,Ahmedabad
2017-12-20,1.0,21.9,10.6,16.2,22.2,9.9,16.3,2017-12-20 01:20:00,2017-12-20 11:47:00,37628.34,23146.99,0.0,0.0,0.0,0.0,7.9,15.1,12.0,9.32,1.7,Lucknow
2019-02-16,0.0,29.7,14.4,21.4,28.4,13.3,20.1,2019-02-16 01:31:00,2019-02-16 13:05:00,41615.09,38620.73,0.0,0.0,0.0,0.0,11.4,24.8,272.0,22.21,4.96,Pune
2017-07-03,63.0,32.0,26.6,29.0,38.6,32.3,35.1,2017-07-02 23:58:00,2017-07-03 13:46:00,49713.67,26380.78,7.4,7.4,0.0,11.0,13.0,23.0,241.0,14.23,3.3,Agra
2016-05-16,2.0,34.8,28.0,30.7,40.4,33.6,36.2,2016-05-15 23:54:00,2016-05-16 12:52:00,46716.09,42251.32,0.0,0.0,0.0,0.0,20.2,38.5,193.0,25.51,6.02,Visakhapatnam
2022-01-15,51.0,25.4,17.0,20.8,26.4,18.2,22.0,2022-01-15 01:19:00,2022-01-15 12:31:00,40339.64,32400.0,0.7,0.7,0.0,7.0,11.2,27.4,77.0,14.99,2.96,Hyderabad
2020-05-07,51.0,33.3,22.1,27.2,37.5,24.5,29.9,2020-05-06 23:53:00,2020-05-07 13:12:00,47950.37,40197.21,0.1,0.1,0.0,1.0,17.8,41.0,72.0,21.85,5.21,Lucknow
2020-05-20,2.0,41.6,30.5,33.7,44.5,31.6,37.0,2020-05-20 00:12:00,2020-05-20 12:58:00,45988.99,40260.08,0.0,0.0,0.0,0.0,23.8,47.9,216.0,21.64,7.47,Chennai
2021-09-16,63.0,30.7,25.2,27.3,37.1,30.4,33.5,2021-09-15 23:53:00,2021-09-16 12:09:00,44121.86,34100.5,7.7,7.7,0.0,12.0,13.2,29.2,158.0,14.63,2.98,Howrah
2017-12-19,1.0,26.1,13.9,19.2,23.3,12.4,17.2,2017-12-19 01:34:00,2017-12-19 12:29:00,39317.8,30466.05,0.0,0.0,0.0,0.0,17.0,37.1,85.0,14.43,3.82,Nashik
2023-10-24,0.0,30.6,17.6,23.5,30.7,18.2,23.8,2023-10-24 00:57:00,2023-10-24 12:13:00,40542.43,36320.2,0.0,0.0,0.0,0.0,11.0,24.8,306.0,16.18,4.01,Delhi
2015-09-19,63.0,28.6,25.8,26.8,34.7,31.3,32.8,2015-09-19 00:15:00,2015-09-19 12:26:00,43850.39,19935.96,22.2,22.2,0.0,21.0,13.4,29.2,153.0,11.2,2.28,Visakhapatnam
2019-11-26,53.0,25.1,15.3,19.9,24.9,14.5,19.7,2019-11-26 01:22:00,2019-11-26 11:54:00,37926.93,27248.97,0.7,0.7,0.0,1.0,17.6,29.9,19.0,9.78,2.51,Delhi
2020-03-29,0.0,34.5,24.5,28.9,35.6,26.9,30.0,2020-03-29 01:04:00,2020-03-29 13:21:00,44236.59,40731.73,0.0,0.0,0.0,0.0,24.5,50.0,335.0,24.35,6.9,Mumbai
2023-06-14,55.0,36.6,26.4,31.4,39.2,29.6,33.8,2023-06-14 00:23:00,2023-06-14 13:55:00,48732.18,41078.7,1.7,1.7,0.0,6.0,31.0,58.3,186.0,22.53,7.35,Ahmedabad
2019-03-09,0.0,29.1,18.1,23.4,30.5,19.4,25.2,2019-03-09 00:21:00,2019-03-09 12:12:00,42732.71,39077.04,0.0,0.0,0.0,0.0,9.8,16.6,197.0,21.25,4.32,Kolkata
2018-06-02,65.0,27.2,20.7,23.8,31.2,23.7,27.4,2018-06-02 00:22:00,2018-06-02 13:12:00,46235.0,29266.97,14.1,14.1,0.0,12.0,10.8,23.4,281.0,15.67,3.17,Bengaluru
2021-01-21,0.0,21.7,10.7,15.5,20.3,9.4,14.5,2021-01-21 01:06:00,2021-01-21 11:54:00,38912.54,34427.41,0.0,0.0,0.0,0.0,13.3,28.8,280.0,15.49,2.68,Patna
2019-08-29,55.0,32.0,25.8,28.4,38.8,32.3,34.4,2019-08-28 23:47:00,2019-08-29 12:27:00,45530.57,40868.28,3.0,3.0,0.0,10.0,20.0,37.1,140.0,19.58,4.1,Kolkata
2019-05-10,1.0,40.3,26.5,33.9,39.2,24.9,32.0,2019-05-10 00:03:00,2019-05-10 13:25:00,48181.94,39004.54,0.0,0.0,0.0,0.0,18.4,36.4,268.0,22.11,8.86,Agra
2016-04-02,1.0,33.4,26.6,29.3,37.1,30.9,33.0,2016-04-02 00:20:00,2016-04-02 12:40:00,44421.01,39617.47,0.0,0.0,0.0,0.0,25.5,42.5,213.0,24.04,5.88,Visakhapatnam
2020-07-14,63.0,31.2,26.2,27.8,37.7,31.6,33.8,2020-07-13 23:30:00,2020-07-14 12:54:00,48218.21,33613.06,9.6,9.6,0.0,19.0,15.0,31.3,141.0,14.61,3.03,Howrah
2016-08-05,61.0,25.2,21.8,22.8,26.9,22.9,24.3,2016-08-05 00:41:00,2016-08-05 13:39:00,46672.34,10800.0,12.9,12.9,0.0,24.0,26.9,51.1,249.0,8.85,1.73,Nashik
2020-09-13,1.0,33.7,26.6,30.2,39.2,32.7,36.0,2020-09-13 00:35:00,2020-09-13 12:58:00,44578.08,40434.39,0.0,0.0,0.0,0.0,10.1,22.7,27.0,19.35,4.47,Delhi
2018-07-08,61.0,31.9,26.8,29.0,37.5,31.8,34.0,2018-07-07 23:28:00,2018-07-08 12:55:00,48429.02,37617.34,5.5,5.5,0.0,13.0,19.5,39.6,143.0,19.05,4.33,Howrah
2016-01-29,0.0,33.0,17.8,24.9,33.1,16.3,23.9,2016-01-29 01:38:00,2016-01-29 12:56:00,40648.27,37957.19,0.0,0.0,0.0,0.0,9.3,22.7,59.0,20.64,4.91,Pune
2020-07-13,63.0,28.0,25.9,26.7,33.7,30.7,31.7,2020-07-13 00:38:00,2020-07-13 13:49:00,47462.57,26047.49,41.2,41.2,0.0,24.0,18.2,35.3,234.0,14.66,2.83,Mumbai
2020-02-21,3.0,31.0,15.4,22.9,29.5,15.1,21.8,2020-02-21 01:09:00,2020-02-21 12:56:00,42427.49,39904.81,0.0,0.0,0.0,0.0,19.8,35.3,100.0,25.16,6.14,Bengaluru
2019-12-12,63.0,22.4,13.3,18.0,21.7,12.9,17.7,2019-12-12 01:17:00,2019-12-12 11:47:00,37823.66,12010.82,13.8,13.8,0.0,9.0,18.0,32.0,107.0,6.57,1.65,Kanpur
2022-06-22,0.0,38.0,27.4,32.8,42.4,31.3,36.0,2022-06-21 23:54:00,2022-06-22 13:45:00,49870.79,41000.88,0.0,0.0,0.0,0.0,11.4,25.6,31.0,22.09,6.13,Agra
2023-12-31,3.0,19.4,6.8,12.2,19.3,5.3,11.6,2023-12-31 01:24:00,2023-12-31 11:53:00,37724.58,27655.85,0.0,0.0,0.0,0.0,9.0,13.3,359.0,12.05,1.9,Lucknow
2019-04-27,2.0,34.5,26.4,30.4,39.7,32.4,35.2,2019-04-27 00:20:00,2019-04-27 12:53:00,45202.53,39380.36,0.0,0.0,0.0,0.0,23.3,47.2,162.0,24.85,6.11,Chennai
2019-11-29,61.0,22.7,15.2,18.5,24.3,15.7,19.8,2019-11-29 01:18:00,2019-11-29 11:53:00,38101.02,28111.97,4.3,4.3,0.0,7.0,8.4,24.8,343.0,9.79,1.75,Agra
2019-10-14,0.0,31.1,23.7,27.2,36.3,27.7,31.9,2019-10-14 00:02:00,2019-10-14 11:42:00,42001.19,37921.55,0.0,0.0,0.0,0.0,7.6,18.4,12.0,19.45,4.11,Kolkata
2022-12-01,3.0,29.6,18.8,23.7,30.8,19.9,24.9,2022-12-01 01:00:00,2022-12-01 12:10:00,40207.2,36607.08,0.0,0.0,0.0,0.0,10.0,23.8,107.0,17.31,3.87,Hyderabad
2018-11-06,53.0,30.0,20.7,24.9,33.9,23.4,28.2,2018-11-06 01:06:00,2018-11-06 12:29:00,40989.03,36703.54,0.8,0.8,0.0,2.0,10.0,30.2,102.0,16.18,3.44,Pune
2019-02-26,2.0,30.6,22.0,26.3,32.7,25.5,29.0,2019-02-26 00:47:00,2019-02-26 12:32:00,42281.19,38545.45,0.0,0.0,0.0,0.0,21.8,45.0,203.0,19.6,4.7,Visakhapatnam
2017-02-25,0.0,32.2,14.9,23.0,31.2,12.5,20.8,2017-02-25 01:27:00,2017-02-25 13:08:00,42058.82,38800.64,0.0,0.0,0.0,0.0,14.0,32.4,59.0,23.45,6.2,Nashik
2019-10-17,1.0,32.2,22.2,27.1,34.5,25.1,29.2,2019-10-17 00:53:00,2019-10-17 12:20:00,41220.22,37018.95,0.0,0.0,0.0,0.0,10.2,23.0,150.0,15.75,4.01,Delhi
2023-02-11,3.0,30.0,19.7,24.6,33.1,22.2,27.6,2023-02-11 01:03:00,2023-02-11 12:43:00,42022.0,37032.71,0.0,0.0,0.0,0.0,12.8,28.4,126.0,20.61,4.27,Chennai
