date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,city,Index Value,Air Quality,Prominent Pollutant
2016-11-26,0.0,29.4,16.4,21.8,26.1,13.1,18.8,2016-11-26 01:22:00,2016-11-26 11:54:00,37882.43,34311.58,0.0,0.0,0.0,0.0,22.4,42.1,301.0,15.19,5.2,Delhi,253,Poor,"PM10, PM2.5"
2017-09-27,61.0,29.9,25.0,27.5,36.0,30.4,33.4,2017-09-27 00:16:00,2017-09-27 12:19:00,43343.14,29494.35,7.3,7.3,0.0,12.0,10.8,28.8,75.0,15.62,3.25,Visakhapatnam,91,Satisfactory,PM2.5
2020-12-06,0.0,27.7,13.6,19.8,28.1,13.3,20.2,2020-12-06 01:13:00,2020-12-06 11:46:00,37964.31,32484.83,0.0,0.0,0.0,0.0,8.9,19.1,360.0,13.04,2.62,Kanpur,393,Very Poor,PM2.5
2017-02-23,0.0,34.6,18.7,26.2,34.8,18.8,25.2,2017-02-23 01:27:00,2017-02-23 13:08:00,42057.62,38811.38,0.0,0.0,0.0,0.0,10.9,22.0,326.0,23.55,5.8,Pune,102,Moderate,PM2.5
2017-05-21,1.0,39.5,25.7,32.4,42.8,26.3,33.4,2017-05-20 23:57:00,2017-05-21 13:32:00,48936.28,45419.94,0.0,0.0,0.0,0.0,13.8,31.7,285.0,25.48,7.36,Agra,172,Moderate,PM2.5
2019-08-07,61.0,28.1,26.0,26.9,31.0,28.1,29.5,2019-08-07 00:47:00,2019-08-07 13:41:00,46453.29,13601.28,15.6,15.6,0.0,24.0,33.4,59.0,260.0,9.62,2.49,Mumbai,54,Satisfactory,"CO, OZONE, PM10"
2016-11-16,2.0,28.9,24.1,26.4,31.6,27.0,28.9,2016-11-16 00:33:00,2016-11-16 11:50:00,40639.9,36490.02,0.0,0.0,0.0,0.0,19.1,36.0,56.0,15.03,3.79,Visakhapatnam,132,Moderate,PM2.5
2023-08-19,51.0,31.7,26.4,28.9,36.7,31.6,34.0,2023-08-18 23:44:00,2023-08-19 12:35:00,46241.21,37635.24,0.8,0.8,0.0,4.0,20.3,38.5,151.0,18.54,4.22,Kolkata,34,Good,"O3, PM10"
2017-06-25,51.0,27.4,20.4,23.0,28.9,20.8,23.5,2017-06-25 00:25:00,2017-06-25 13:18:00,46390.5,39394.6,2.2,2.2,0.0,14.0,28.2,62.6,253.0,16.84,3.75,Bengaluru,51,Satisfactory,"CO, PM2.5"
2019-05-29,55.0,33.2,21.9,26.9,37.4,25.5,30.1,2019-05-29 00:22:00,2019-05-29 13:11:00,46156.17,40329.85,1.5,1.5,0.0,3.0,13.6,27.4,254.0,22.23,5.14,Bengaluru,97,Satisfactory,OZONE
