city_name,datetime,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
Gwalior,2021-08-27,3.0,32.6,25.2,28.8,37.9,28.5,33.5,2021-08-27 00:25:00,2021-08-27 13:12:00,46012.26,36029.34,0.0,0.0,0.0,0.0,10.8,24.5,228.0,17.51,4.0
Ghāziābād,2021-04-02,0.0,32.9,16.3,24.3,30.3,12.4,20.7,2021-04-02 00:39:00,2021-04-02 13:08:00,45001.63,42229.7,0.0,0.0,0.0,0.0,14.8,30.2,326.0,24.64,7.52
Meerut,2000-12-24,1.0,21.5,6.3,13.3,19.6,4.2,11.6,2000-12-24 01:40:00,2000-12-24 11:57:00,37049.29,33947.57,0.0,0.0,0.0,0.0,10.7,20.5,305.0,13.91,2.48
Jamshedpur,1989-05-02,1.0,41.9,26.7,33.8,43.6,30.2,36.3,1989-05-01 23:42:00,1989-05-02 12:42:00,46856.83,42915.37,0.0,0.0,0.0,0.0,14.1,36.4,242.0,25.0,7.31
Chandīgarh,1994-05-27,1.0,42.2,24.2,34.3,41.9,23.1,32.6,1994-05-26 23:51:00,1994-05-27 13:47:00,50156.81,45752.7,0.0,0.0,0.0,0.0,18.9,42.1,332.0,27.9,9.04
Amritsar,2016-02-20,1.0,23.5,12.4,17.7,24.1,11.0,17.8,2016-02-20 01:37:00,2016-02-20 12:50:00,40374.65,36923.62,0.0,0.0,0.0,0.0,15.5,32.8,306.0,15.58,2.82
Amritsar,1986-11-19,1.0,25.0,9.7,16.7,22.6,8.0,14.8,1986-11-19 01:31:00,1986-11-19 11:59:00,37667.3,34438.65,0.0,0.0,0.0,0.0,12.1,25.9,311.0,14.46,3.22
Indore,2002-09-04,63.0,26.5,21.8,23.4,30.8,24.3,26.8,2002-09-04 00:39:00,2002-09-04 13:11:00,45082.57,405.8,24.5,24.5,0.0,24.0,17.6,29.5,318.0,7.16,1.56
Vārānasi,2017-12-20,1.0,22.8,11.7,16.9,22.7,11.3,16.9,2017-12-20 01:08:00,2017-12-20 11:42:00,38009.99,32504.24,0.0,0.0,0.0,0.0,7.7,15.5,346.0,12.63,2.28
Jamshedpur,2015-03-24,0.0,37.1,22.9,29.8,38.4,23.3,31.3,2015-03-24 00:16:00,2015-03-24 12:27:00,43914.51,40071.69,0.0,0.0,0.0,0.0,10.7,29.9,38.0,24.11,5.94
Vijayavāda,1985-03-06,3.0,36.7,22.6,29.1,41.0,27.3,32.8,1985-03-06 00:51:00,1985-03-06 12:45:00,42823.61,39203.52,0.0,0.0,0.0,0.0,15.2,29.5,179.0,23.5,5.69
Indore,2003-01-12,51.0,26.6,15.9,21.2,25.9,14.2,20.7,2003-01-12 01:39:00,2003-01-12 12:30:00,39073.83,35828.27,0.6,0.6,0.0,3.0,11.2,27.0,154.0,14.45,3.3
Jabalpur,1991-01-26,0.0,28.4,14.6,21.5,28.3,14.0,21.2,1991-01-26 01:22:00,1991-01-26 12:23:00,39650.75,36214.23,0.0,0.0,0.0,0.0,10.6,23.4,341.0,18.45,3.93
Bhopāl,1993-09-23,63.0,28.2,22.9,24.9,32.9,26.8,29.4,1993-09-23 00:39:00,1993-09-23 12:46:00,43595.45,25560.11,9.3,9.3,0.0,10.0,12.2,25.2,58.0,12.9,2.64
Vārānasi,2017-02-07,0.0,25.1,11.8,18.6,22.7,9.7,16.4,2017-02-07 01:07:00,2017-02-07 12:16:00,40123.97,37320.76,0.0,0.0,0.0,0.0,21.4,41.8,273.0,19.27,4.57
Vadodara,1986-07-15,61.0,27.7,25.8,26.7,33.7,30.6,31.8,1986-07-15 00:31:00,1986-07-15 13:54:00,48146.98,0.0,15.1,15.1,0.0,18.0,12.9,25.2,244.0,4.54,1.3
Vārānasi,1990-01-18,0.0,28.3,15.1,21.2,26.2,11.9,18.8,1990-01-18 01:15:00,1990-01-18 12:01:00,38773.87,35624.98,0.0,0.0,0.0,0.0,19.5,37.4,268.0,17.19,5.07
Kanpur,2005-10-22,51.0,27.0,18.6,22.6,29.2,21.1,25.1,2005-10-22 00:41:00,2005-10-22 12:04:00,40948.8,36598.54,0.2,0.2,0.0,2.0,12.0,24.8,64.0,13.29,2.77
Dhanbād,1985-04-06,51.0,36.2,22.7,29.5,37.5,23.4,29.5,1985-04-06 00:01:00,1985-04-06 12:32:00,45031.86,34372.78,0.1,0.1,0.0,1.0,10.8,22.3,269.0,20.36,6.0
Vasai-Virar,1984-01-23,1.0,25.9,14.5,20.6,26.8,15.0,21.0,1984-01-23 01:45:00,1984-01-23 12:55:00,40207.58,37472.83,0.0,0.0,0.0,0.0,13.1,25.9,343.0,19.83,4.0
Vasai-Virar,2005-06-01,3.0,32.6,28.4,30.1,37.1,34.1,35.4,2005-06-01 00:29:00,2005-06-01 13:43:00,47602.82,28305.32,0.0,0.0,0.0,0.0,14.9,30.6,272.0,14.21,3.76
Bhopāl,2012-05-06,51.0,37.9,25.6,31.5,38.6,24.8,31.0,2012-05-06 00:13:00,2012-05-06 13:20:00,47217.53,43440.36,0.7,0.7,0.0,2.0,15.8,31.7,294.0,25.27,7.91
Aurangābād,1995-03-28,0.0,33.5,18.3,27.2,36.1,18.2,27.5,1995-03-28 00:56:00,1995-03-28 13:11:00,44129.71,41554.85,0.0,0.0,0.0,0.0,11.0,21.2,307.0,24.95,5.91
Pimpri-Chinchwad,2009-10-09,3.0,27.5,18.0,22.4,30.6,19.9,24.7,2009-10-09 00:57:00,2009-10-09 12:47:00,42582.0,37339.48,0.0,0.0,0.0,0.0,10.7,24.8,282.0,21.52,4.24
Vārānasi,1986-03-18,1.0,33.7,16.1,25.6,33.9,14.7,24.6,1986-03-18 00:34:00,1986-03-18 12:37:00,43422.1,39658.61,0.0,0.0,0.0,0.0,13.4,25.6,54.0,23.97,6.34
Hāora,2011-03-05,0.0,35.6,21.8,28.5,37.5,24.2,30.4,2011-03-05 00:25:00,2011-03-05 12:11:00,42413.6,38995.09,0.0,0.0,0.0,0.0,11.4,30.2,247.0,21.21,5.43
Āgra,1981-10-17,0.0,34.7,19.3,26.9,33.7,19.5,26.3,1981-10-17 00:48:00,1981-10-17 12:18:00,41334.74,38597.56,0.0,0.0,0.0,0.0,17.8,33.5,304.0,20.07,5.9
Vadodara,1984-05-05,0.0,41.4,26.5,33.6,41.0,28.5,34.4,1984-05-05 00:32:00,1984-05-05 13:35:00,46980.19,43200.0,0.0,0.0,0.0,0.0,14.0,30.6,287.0,27.56,8.08
Sūrat,1989-08-14,53.0,28.0,25.0,26.5,32.7,28.7,30.0,1989-08-14 00:47:00,1989-08-14 13:39:00,46364.29,28046.12,1.8,1.8,0.0,7.0,21.4,36.0,230.0,16.24,3.49
Chandīgarh,1991-02-18,1.0,19.2,5.2,12.4,18.5,3.1,10.8,1991-02-18 01:31:00,1991-02-18 12:42:00,40273.66,36580.3,0.0,0.0,0.0,0.0,13.1,27.4,324.0,18.47,3.03
