date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-12-25,Mumbai,10,Poor,280,PM2.5
2019-03-11,Siliguri,1,Moderate,185,PM2.5
2023-01-10,Yadgir,1,Satisfactory,83,PM10
2021-09-15,Prayagraj,3,Good,19,"CO, O3, PM10"
2019-09-18,Khanna,1,Satisfactory,86,PM10
2023-07-25,Ahmedabad,7,Satisfactory,75,PM10
2022-11-16,Karnal,1,Moderate,129,PM2.5
2022-11-25,Kannur,1,Satisfactory,80,PM10
2023-08-14,Rajamahendravaram,1,Satisfactory,54,PM10
2019-11-25,Bengaluru,7,Satisfactory,69,"CO, PM10, PM2.5"
2017-04-01,Haldia,1,Satisfactory,59,PM10
2020-12-11,Medikeri,1,Good,47,O3
2022-09-13,Kolkata,7,Good,37,"NH3, O3, PM10"
2022-07-02,Varanasi,3,Good,45,"NO2, PM10"
2023-05-02,Mangalore,1,Satisfactory,55,CO
2018-08-22,Thiruvananthapuram,1,Good,46,CO
2019-07-01,Nagpur,1,Good,41,CO
2021-09-09,Kanpur,4,Good,46,"NO2, O3, PM10"
2023-08-09,Siwan,1,Satisfactory,58,PM10
2021-05-04,Navi Mumbai,2,Satisfactory,90,PM10
2022-10-23,Vatva,1,Moderate,114,PM10
2022-12-27,Baddi,1,Very Poor,334,PM2.5
2018-09-22,Mandi Gobindgarh,1,Good,37,PM10
2020-05-27,Kaithal,1,Moderate,115,PM10
2017-08-04,Faridabad,1,Satisfactory,93,PM2.5
2021-07-07,Ghaziabad,3,Poor,208,PM10
2023-02-16,Hisar,1,Moderate,177,PM10
2019-11-04,Siliguri,1,Satisfactory,80,PM10
2023-01-18,Ariyalur,1,Good,44,PM2.5
2021-09-04,Tirupati,1,Good,44,CO
2023-09-05,Hubballi,2,Satisfactory,78,PM10
2019-09-06,Chikkaballapur,1,Good,39,CO
2017-04-14,Panchkula,1,Good,49,PM2.5
2020-11-30,Chandigarh,1,Moderate,182,PM2.5
2019-05-02,Navi Mumbai,1,Moderate,132,PM10
2020-03-09,Rajamahendravaram,1,Good,42,O3
2023-08-19,Bareilly,2,Good,48,PM10
2022-11-20,Hubballi,1,Moderate,109,PM2.5
2017-02-15,Howrah,1,Moderate,134,PM10
2023-06-07,Cuddalore,2,Satisfactory,98,NO2
2023-01-31,Vellore,1,Satisfactory,90,PM2.5
2022-09-07,Panipat,1,Good,50,PM10
2022-10-17,Panipat,1,Moderate,184,PM10
2023-07-08,Ballabgarh,1,Satisfactory,76,PM10
2023-08-23,Badlapur,1,Good,34,CO
2023-12-20,Hubballi,1,Moderate,104,PM10
2022-05-10,Ghaziabad,4,Moderate,199,"O3, PM10"
2022-04-18,Katihar,1,Moderate,176,PM10
2019-03-22,Ankleshwar,1,Satisfactory,89,PM10
2019-10-24,Hubballi,1,Good,42,PM10
2021-08-11,Rupnagar,1,Moderate,108,PM10
2021-05-06,Palwal,1,Moderate,129,PM10
2019-09-11,Patiala,1,Satisfactory,82,PM10
2021-06-13,Indore,1,Satisfactory,65,PM10
2023-10-25,Chikkaballapur,1,Moderate,124,PM2.5
2018-03-15,Nashik,1,Moderate,103,OZONE
2022-03-03,Munger,1,Moderate,163,PM10
2022-10-01,Hyderabad,10,Satisfactory,75,"CO, PM10, PM2.5"
2018-12-08,Thiruvananthapuram,1,Satisfactory,89,CO
2021-08-04,Delhi,36,Satisfactory,69,"NO2, PM10, PM2.5"
2021-12-29,Maihar,1,Moderate,101,CO
